# 西北五地(新疆/青海/甘肃/宁夏/西藏)艺术机会官方 URL 清单
# 类型说明: jobs招聘 / opencall征稿 / exhibition展览 / workshop工作坊
# 均为 gov.cn 或正规机构官网,已逐条核实可访问;不含公众号/小红书/抖音
#
# ===================== 新疆维吾尔自治区 =====================
# 新疆文旅厅(gov.cn)——传统工艺展示活动征集
https://wlt.xinjiang.gov.cn/wlt/tzgg/202509/ac642bf46f89406fa9068bf6105da202.shtml # 新疆自治区文化和旅游厅 | opencall | 2026新疆传统工艺展示活动作品征集(雕塑/织染/陶瓷等)
# 敦煌研究院——甘肃省直文博单位公开招聘
https://www.dha.ac.cn/info/1020/7855.htm # 敦煌研究院(转发公告) | jobs | 甘肃省省直文博单位2026年公开招聘事业编制工作人员公告
# 敦煌研究院——国家艺术基金艺术人才培养项目
https://www.dha.ac.cn/info/1019/7851.htm # 敦煌研究院 | workshop | 国家艺术基金2026年度《敦煌彩塑艺术传承与研究人才》培养项目
# 甘肃省书法家协会——新人新作书法展览征稿
http://1www.gsarts.org.cn/sjwap/gggs/202602/t20260227_1358043.html # 甘肃省书法家协会 | opencall | 甘肃省第七届新人新作书法展览征稿启事
# 酒泉市文旅局(gov.cn)——全省廉洁文化美术书法展征稿
https://wlj.jiuquan.gov.cn/wlj/c106742/202607/f824bab84f994c5cb168388ee124ea68.shtml # 酒泉市文体广电和旅游局 | opencall | "清风陇原"全省廉洁文化美术书法作品展征稿启事
# 兰州市文旅局(gov.cn)——甘青两省美术巡回展动态
http://wlj.lanzhou.gov.cn/art/2026/7/29/art_7529_1722328.html # 兰州市文化和旅游局(城关区文化馆) | exhibition | "如意甘肃 大美青海"甘青两省三市一州美术作品巡回展
# 西北师范大学人事处——人才招聘主页
https://rsc.nwnu.edu.cn/_s172/main.psp # 西北师范大学人事处 | jobs | 博士研究生公开招聘/高层次人才引进公告汇总(含美术学院)
# 西北师范大学——2026考核招聘博士公告
https://rsc.nwnu.edu.cn/2026/0126/c5495a268711/page.htm # 西北师范大学人事处 | jobs | 2026年公开考核招聘博士研究生公告(美术学院艺术学等岗位)
#
# ===================== 青海省 =====================
# 青海美术馆——官方网站
http://www.qhmsg.com.cn/ # 青海美术馆 | exhibition | 官网、当前展览/展览预告/展览申办/通知公告
# 青海美术馆——全国美术作品展征稿
http://www.qhmsg.com.cn/news/shownews.php?id=772 # 青海美术馆 | opencall | 第三届铸牢中华民族共同体意识美术作品展征稿通知(2026,青海美术馆)
# 青海美术馆——年度展览申办公告
http://www.qhmsg.com.cn/zlsb/shownews.php?id=718 # 青海美术馆 | opencall | 2026年展览申办公告(艺术家/策展人个人或团体可申报)
# 青海美术馆——建馆十周年征文启事
http://www.qhmsg.com.cn/news/shownews.php?id=807 # 青海美术馆 | opencall | 青海美术馆建馆10周年专题征文启事
#
# ===================== 宁夏回族自治区 =====================
# 宁夏文旅厅(gov.cn)——国家美术典藏作品征集
https://whhlyt.nx.gov.cn/zwgk/fdzdgknr/tzgg/202411/t20241121_4734397_zzb.html # 宁夏回族自治区文化和旅游厅 | opencall | 2024—2025年度国家美术典藏作品征集推荐(宁夏美术馆承办)
# 宁夏文旅厅(gov.cn)——迎新春全区群众书法绘画摄影展赛
https://whhlyt.nx.gov.cn/xxfb/wlyw/202501/t20250120_4794982_zzb.html # 宁夏回族自治区文化和旅游厅 | exhibition/opencall | 第十一届"迎新春"全区群众书法绘画摄影暨民间美术作品展赛
# 银川市文联——长征精神书法美术网络展征稿
https://www.ycwyj.com/news-view.asp?aid=77&id=83&newsid=6923 # 银川市文学艺术界联合会 | opencall | "赓续红色血脉"弘扬伟大长征精神书法美术网络展征集启事
# 银川市文联——群众艺术作品展征稿
https://www.ycwyj.com/view.asp?aid=77&id=83&newsid=3542 # 银川市文学艺术界联合会 | opencall | "山河壮美石榴红"银川市群众艺术作品展征稿启事(银川美术馆承办)
#
# ===================== 西藏自治区 =====================
# 西藏文旅厅(gov.cn)——珠穆朗玛文学艺术奖征集
https://wlt.xizang.gov.cn/xwzx_69/tzgg/202607/t20260717_550493.html # 西藏自治区文化厅/西藏文联 | opencall | 第八届西藏珠穆朗玛文学艺术奖作品征集公告(含美术/唐卡/书法门类)
# 西藏文旅厅(gov.cn)——西藏美术馆馆藏研究展
https://wlt.xizang.gov.cn/xwzx_69/wlyw/wldt/202604/t20260403_533076.html # 西藏自治区文化厅(西藏美术馆) | exhibition | "历史变迁中的人物画卷"西藏美术馆馆藏研究展
# 西藏自治区唐卡艺术与文化协会——官方网站
https://thangkas.com.cn/ # 西藏自治区唐卡艺术与文化协会 | opencall/exhibition | 非遗唐卡机构官网、新唐卡艺术大赛与展览信息
# 西藏自治区唐卡艺术与文化协会——第三届新唐卡艺术大赛章程
https://thangkas.com.cn/news/N5/ # 西藏自治区唐卡艺术与文化协会 | opencall | 第三届"和合共生·彩韵新章"新唐卡艺术大赛章程(线上征稿)
